,penalty_player_name,penalty_player_id,season,penalty_team,penalty
0,A.Abdullah,00-0032104,2019,MIN,1
1,A.Abdullah,00-0032104,2022,LV,1
2,A.Abdullah,00-0032104,2023,LV,1
3,A.Abdullah,00-0032104,2024,LV,1
4,A.Adams,00-0032637,2018,TB,4
5,A.Adams,00-0032637,2019,TB,4
6,A.Adams,00-0032637,2020,TB,1
7,A.Adams,00-0032637,2021,TB,4
8,A.Adebawore,00-0039031,2023,IND,1
9,A.Adebawore,00-0039031,2024,IND,1
10,A.Al-Shaair,00-0035166,2019,SF,1
11,A.Al-Shaair,00-0035166,2021,SF,1
12,A.Al-Shaair,00-0035166,2022,SF,1
13,A.Al-Shaair,00-0035166,2023,TEN,4
14,A.Al-Shaair,00-0035166,2024,HOU,3
15,A.Alexander,00-0034840,2018,WAS,2
16,A.Allen,00-0029553,2016,NYJ,1
17,A.Alufohai,00-0036065,2020,HOU,1
18,A.Amos,00-0031584,2016,CHI,1
19,A.Amos,00-0031584,2018,CHI,2
20,A.Amos,00-0031584,2020,GB,2
21,A.Amos,00-0031584,2021,GB,2
22,A.Amos,00-0031584,2022,GB,3
23,A.Anderson,00-0034587,2022,ATL,2
24,A.Anderson,00-0037428,2024,BUF,4
25,A.Andrews,00-0030789,2016,TEN,1
26,A.Anzalone,00-0033914,2017,NO,1
27,A.Anzalone,00-0033914,2018,NO,1
28,A.Anzalone,00-0033914,2020,NO,3
29,A.Anzalone,00-0033914,2021,DET,1
30,A.Anzalone,00-0033914,2022,DET,2
31,A.Anzalone,00-0033914,2023,DET,5
32,A.Anzalone,00-0033914,2024,DET,2
33,A.Arcuri,00-0037845,2024,LA,1
34,A.Armah,00-0033296,2017,CAR,1
35,A.Armah,00-0033296,2019,CAR,3
36,A.Armstead,00-0032164,2017,SF,1
37,A.Armstead,00-0032164,2018,SF,3
38,A.Armstead,00-0032164,2019,SF,1
39,A.Armstead,00-0032164,2020,SF,3
40,A.Armstead,00-0032164,2021,SF,4
41,A.Armstead,00-0032164,2023,SF,3
42,A.Armstead,00-0032164,2024,JAX,2
43,A.Auclair,00-0033421,2017,TB,2
44,A.Auclair,00-0033421,2018,TB,7
45,A.Auclair,00-0033421,2019,TB,2
